FamilyID,Change,Species,Trend,Pvalue,Significance
OG0006874,1,PDJA,Expansion,0.557,n
OG0006875,1,AMEL,Expansion,0.557,n
OG0006875,1,PDJA,Expansion,0.557,n
OG0006875,-1,CBAT,Contraction,0.557,n
OG0006876,-1,CMAC,Contraction,0.161,n
OG0006876,-1,BYAR,Contraction,0.161,n
OG0006876,1,PGIG,Expansion,0.161,n
OG0006877,-1,CFUS,Contraction,0.83,n
OG0006877,1,TFUL,Expansion,0.83,n
OG0006881,1,SMER,Expansion,0.999,n
OG0006883,1,CMAG,Expansion,0.419,n
OG0006883,-1,CFUS,Contraction,0.419,n
OG0006883,1,CMAC,Expansion,0.419,n
OG0006884,-1,BYAR,Contraction,0.665,n
OG0006884,2,SMER,Expansion,0.665,n
OG0006884,1,PHYP,Expansion,0.665,n
OG0006884,-1,CMAG,Contraction,0.665,n
OG0006885,1,PHYP,Expansion,0.952,n
OG0006886,1,HWYC,Expansion,0.403,n
OG0006886,1,IPUN,Expansion,0.403,n
OG0006888,1,CFUS,Expansion,0.16,n
OG0006888,1,BYAR,Expansion,0.16,n
OG0006888,-1,CGAR,Contraction,0.16,n
OG0006888,1,IPUN,Expansion,0.16,n
OG0006888,-1,CMAC,Contraction,0.16,n
OG0006889,1,SMER,Expansion,0.972,n
OG0006889,-1,CMAG,Contraction,0.972,n
OG0006890,1,PHYP,Expansion,0.952,n
OG0006891,1,CMAC,Expansion,0.948,n
OG0006892,-1,PDJA,Contraction,0.023,y
OG0006892,2,CMAC,Expansion,0.023,y
OG0006894,-1,CBAT,Contraction,0.853,n
OG0006894,-1,BYAR,Contraction,0.853,n
OG0006895,-1,CFUS,Contraction,0.968,n
OG0006895,1,SMER,Expansion,0.968,n
OG0006896,1,PDJA,Expansion,0.787,n
OG0006896,-1,CFUS,Contraction,0.787,n
OG0006897,1,CFUS,Expansion,0.928,n
OG0006898,-1,CFUS,Contraction,0.737,n
OG0006898,1,PHYP,Expansion,0.737,n
OG0006899,-1,CBAT,Contraction,0.281,n
OG0006899,1,CMAC,Expansion,0.281,n
OG0006899,1,TFUL,Expansion,0.281,n
OG0006899,-1,BYAR,Contraction,0.281,n
OG0006899,1,CGAR,Expansion,0.281,n
OG0006902,1,SMER,Expansion,0.999,n
OG0006903,1,TFUL,Expansion,0.87,n
OG0006903,-1,CMAG,Contraction,0.87,n
OG0006903,1,SMER,Expansion,0.87,n
OG0006904,2,PHYP,Expansion,0.004,y
OG0006904,2,TFUL,Expansion,0.004,y
OG0006904,-1,CFUS,Contraction,0.004,y
OG0006904,-1,BYAR,Contraction,0.004,y
OG0006904,-1,CMAG,Contraction,0.004,y
OG0006904,-1,CMAC,Contraction,0.004,y
OG0006905,3,TFUL,Expansion,0.299,n
OG0006905,-1,CBAT,Contraction,0.299,n
OG0006905,-1,BYAR,Contraction,0.299,n
OG0006909,-1,HWYC,Contraction,0.866,n
OG0006909,1,PHYP,Expansion,0.866,n
OG0006910,-1,PDJA,Contraction,0.304,n
OG0006910,-1,CGAR,Contraction,0.304,n
OG0006910,1,IPUN,Expansion,0.304,n
OG0006910,2,TFUL,Expansion,0.304,n
OG0006912,-1,CBAT,Contraction,0.423,n
OG0006912,2,CMAC,Expansion,0.423,n
OG0006913,1,CFUS,Expansion,0.356,n
OG0006913,-1,CGAR,Contraction,0.356,n
OG0006913,1,PGIG,Expansion,0.356,n
OG0006913,-1,BYAR,Contraction,0.356,n
OG0006915,-1,BYAR,Contraction,0.265,n
OG0006915,1,CFUS,Expansion,0.265,n
OG0006915,-1,CBAT,Contraction,0.265,n
OG0006915,1,PHYP,Expansion,0.265,n
OG0006917,-1,CMAG,Contraction,0.379,n
OG0006917,1,BYAR,Expansion,0.379,n
OG0006917,1,AMEL,Expansion,0.379,n
OG0006917,1,SMER,Expansion,0.379,n
OG0006917,-1,CFUS,Contraction,0.379,n
OG0006918,1,PDJA,Expansion,0.787,n
OG0006918,-1,CFUS,Contraction,0.787,n
OG0006919,1,PHYP,Expansion,0.952,n
OG0006921,1,CMAG,Expansion,0.128,n
OG0006921,-1,CBAT,Contraction,0.128,n
OG0006921,-1,BYAR,Contraction,0.128,n
OG0006921,1,IPUN,Expansion,0.128,n
OG0006921,-1,CMAC,Contraction,0.128,n
OG0006922,-1,CMAG,Contraction,0.977,n
OG0006922,2,SMER,Expansion,0.977,n
OG0006926,1,PHYP,Expansion,0.737,n
OG0006926,-1,CFUS,Contraction,0.737,n
OG0006927,-1,CFUS,Contraction,0.178,n
OG0006927,3,TFUL,Expansion,0.178,n
OG0006927,-1,CMAG,Contraction,0.178,n
OG0006928,1,CBAT,Expansion,0.727,n
OG0006928,-1,CMAC,Contraction,0.727,n
OG0006929,2,PHYP,Expansion,0.448,n
OG0006929,-1,CFUS,Contraction,0.448,n
OG0006930,-1,CFUS,Contraction,0.64,n
OG0006930,2,TFUL,Expansion,0.64,n
OG0006933,1,HWYC,Expansion,0.927,n
OG0006933,1,SMER,Expansion,0.927,n
OG0006933,-1,CGAR,Contraction,0.927,n
OG0006934,1,IPUN,Expansion,0.965,n
OG0006935,1,SMER,Expansion,0.488,n
OG0006935,1,PHYP,Expansion,0.488,n
OG0006935,-1,CBAT,Contraction,0.488,n
OG0006935,-1,CMAC,Contraction,0.488,n
OG0006936,1,TFUL,Expansion,0.983,n
OG0006938,-1,CMAC,Contraction,0.488,n
OG0006938,1,PHYP,Expansion,0.488,n
OG0006938,-1,CBAT,Contraction,0.488,n
OG0006938,1,SMER,Expansion,0.488,n
OG0006939,-1,CMAC,Contraction,0.322,n
OG0006939,1,SMER,Expansion,0.322,n
OG0006939,1,PHYP,Expansion,0.322,n
OG0006939,1,TFUL,Expansion,0.322,n
OG0006939,-1,CFUS,Contraction,0.322,n
OG0006940,1,PHYP,Expansion,0.206,n
OG0006940,-1,PGIG,Contraction,0.206,n
OG0006940,1,SMER,Expansion,0.206,n
OG0006940,-1,CMAG,Contraction,0.206,n
OG0006940,-1,CFUS,Contraction,0.206,n
OG0006941,1,CMAC,Expansion,0.874,n
OG0006941,-1,BYAR,Contraction,0.874,n
OG0006942,-1,CMAC,Contraction,0.949,n
OG0006943,1,CFUS,Expansion,0.928,n
OG0006944,-1,CFUS,Contraction,0.932,n
OG0006948,1,AMEL,Expansion,0.965,n
OG0006949,-1,CFUS,Contraction,0.448,n
OG0006949,2,PHYP,Expansion,0.448,n
OG0006950,-1,CBAT,Contraction,0.552,n
OG0006950,-1,CGAR,Contraction,0.552,n
OG0006950,1,PHYP,Expansion,0.552,n
OG0006950,2,SMER,Expansion,0.552,n
OG0006952,1,CBAT,Expansion,0.928,n
OG0006953,-1,CGAR,Contraction,0.051,n
OG0006953,5,SMER,Expansion,0.051,n
OG0006953,-1,CMAC,Contraction,0.051,n
OG0006953,-1,PGIG,Contraction,0.051,n
OG0006954,-1,CFUS,Contraction,0.585,n
OG0006954,1,SMER,Expansion,0.585,n
OG0006954,-1,CMAC,Contraction,0.585,n
OG0006954,1,TFUL,Expansion,0.585,n
OG0006955,-1,CGAR,Contraction,0.399,n
OG0006955,2,TFUL,Expansion,0.399,n
OG0006955,-1,CFUS,Contraction,0.399,n
OG0006956,1,CFUS,Expansion,0.928,n
OG0006957,-1,CFUS,Contraction,0.692,n
OG0006957,1,CMAG,Expansion,0.692,n
OG0006959,1,SMER,Expansion,0.43,n
OG0006959,3,TFUL,Expansion,0.43,n
OG0006963,1,PHYP,Expansion,0.952,n
OG0006965,1,SMER,Expansion,0.999,n
OG0006966,1,CGAR,Expansion,0.789,n
OG0006966,-1,CFUS,Contraction,0.789,n
OG0006967,1,BYAR,Expansion,0.725,n
OG0006967,1,IPUN,Expansion,0.725,n
OG0006967,-1,CGAR,Contraction,0.725,n
OG0006968,1,CFUS,Expansion,0.551,n
OG0006968,1,BYAR,Expansion,0.551,n
OG0006968,-1,CMAC,Contraction,0.551,n
OG0006969,-1,BYAR,Contraction,0.744,n
OG0006969,1,PDJA,Expansion,0.744,n
OG0006969,1,CGAR,Expansion,0.744,n
OG0006970,1,CFUS,Expansion,0.692,n
OG0006970,-1,CMAG,Contraction,0.692,n
OG0006971,2,PHYP,Expansion,0.031,y
OG0006971,-1,CGAR,Contraction,0.031,y
OG0006971,-1,CFUS,Contraction,0.031,y
OG0006971,-1,CMAG,Contraction,0.031,y
OG0006971,1,TFUL,Expansion,0.031,y
OG0006972,-1,CFUS,Contraction,0.968,n
OG0006972,1,SMER,Expansion,0.968,n
OG0006973,1,CBAT,Expansion,0.692,n
OG0006973,-1,CMAG,Contraction,0.692,n
OG0006974,-1,BYAR,Contraction,0.683,n
OG0006974,-1,CGAR,Contraction,0.683,n
OG0006974,1,PHYP,Expansion,0.683,n
OG0006975,1,SMER,Expansion,0.999,n
OG0006978,1,CMAG,Expansion,0.692,n
OG0006978,-1,CFUS,Contraction,0.692,n
OG0006980,-1,CMAG,Contraction,0.181,n
OG0006980,2,PHYP,Expansion,0.181,n
OG0006980,-1,CFUS,Contraction,0.181,n
OG0006981,-1,CBAT,Contraction,0.818,n
OG0006981,1,SMER,Expansion,0.818,n
OG0006981,1,AMEL,Expansion,0.818,n
OG0006986,-1,CFUS,Contraction,0.549,n
OG0006986,1,PHYP,Expansion,0.549,n
OG0006986,1,TFUL,Expansion,0.549,n
OG0006987,-1,CFUS,Contraction,0.596,n
OG0006987,1,HWYC,Expansion,0.596,n
OG0006987,1,IPUN,Expansion,0.596,n
OG0006988,1,TFUL,Expansion,0.983,n
OG0006989,1,TFUL,Expansion,0.675,n
OG0006989,1,CFUS,Expansion,0.675,n
OG0006989,-1,BYAR,Contraction,0.675,n
OG0006990,-1,CGAR,Contraction,0.86,n
OG0006990,1,SMER,Expansion,0.86,n
OG0006990,1,PHYP,Expansion,0.86,n
OG0006991,1,CFUS,Expansion,0.849,n
OG0006991,-1,BYAR,Contraction,0.849,n
OG0006992,-1,CMAG,Contraction,0.834,n
OG0006992,1,TFUL,Expansion,0.834,n
OG0006993,1,CFUS,Expansion,0.928,n
OG0006994,-1,CBAT,Contraction,0.932,n
OG0006995,-1,PGIG,Contraction,0.091,n
OG0006995,2,TFUL,Expansion,0.091,n
OG0006995,-1,BYAR,Contraction,0.091,n
OG0006996,1,CFUS,Expansion,0.928,n
OG0006998,1,SMER,Expansion,0.972,n
OG0006998,-1,CMAG,Contraction,0.972,n
OG0006999,-1,CFUS,Contraction,0.83,n
OG0006999,1,TFUL,Expansion,0.83,n
OG0007002,-1,CMAG,Contraction,0.453,n
